Biomass species,MC,VM,FC,Ash,C,H,O,N,S,oC,ER,S/B,CO,CO2,H2,CH4
Rice husk,9.08,60.37,12.37,18.18,47.01,6.78,45.71,0.48,0.04,665,0.25,0,48.24,35.03,9.7,7.03
Rice husk,9.08,60.37,12.37,18.18,47.01,6.78,45.71,0.48,0.04,744,0.3,0,40.05,43.48,10.13,6.35
Rice husk,9.08,60.37,12.37,18.18,47.01,6.78,45.71,0.48,0.04,811,0.35,0,36.16,48.61,9.61,5.62
Rice husk,9.08,60.37,12.37,18.18,47.01,6.78,45.71,0.48,0.04,670,0.35,0,46.99,37.26,9.69,6.06
Rice husk,9.08,60.37,12.37,18.18,47.01,6.78,45.71,0.48,0.04,750,0.3,0,39.76,45.36,9.37,5.51
Rice husk,9.08,60.37,12.37,18.18,47.01,6.78,45.71,0.48,0.04,822,0.35,0,35.88,49.45,9.36,5.31
Rice husk,9.08,60.37,12.37,18.18,47.01,6.78,45.71,0.48,0.04,700,0.35,0,42.79,41.91,9.64,5.66
Rice husk,9.08,60.37,12.37,18.18,47.01,6.78,45.71,0.48,0.04,766,0.3,0,37.3,47.69,9.53,5.48
Rice husk,9.08,60.37,12.37,18.18,47.01,6.78,45.71,0.48,0.04,828,0.35,0,35.32,50.06,9.34,5.29
C. cardunculus L,7.03,72.29,15.01,5.67,51.22,5.94,41.97,0.85,0.01,826,0.3,0,44,29.11,20.1,6.79
C. cardunculus L,7.03,72.29,15.01,5.67,51.22,5.94,41.97,0.85,0.01,874,0.29,0,42.37,27.28,24.06,6.29
C. cardunculus L,9.69,69.83,10.21,10.27,55.18,6.66,37.46,0.64,0.06,700,0.2,0,23.65,37.6,27.95,10.81
C. cardunculus L,9.69,69.83,10.21,10.27,55.18,6.66,37.46,0.64,0.06,760,0.2,0,27.98,33.9,27.47,10.65
C. cardunculus L,9.69,69.83,10.21,10.27,55.18,6.66,37.46,0.64,0.06,800,0.2,0,30.72,30.44,29.89,8.95
Rubber Woodchip,9.5,80.45,9.05,1,46.4,5.7,47.7,0.2,0.01,761,0.38,0,33.76,40.71,16.56,8.97
Rubber Woodchip,18.1,72.81,8.19,0.9,46.4,5.7,47.7,0.2,0.01,730,0.38,0,30.18,46.06,14.62,9.15
Rubber Woodchip,25.5,66.23,7.45,0.82,46.4,5.7,47.7,0.2,0.01,699,0.38,0,28.36,48.11,14.81,8.72
Rubber Woodchip,27,64.9,7.3,0.8,46.4,5.7,47.7,0.2,0.01,703.5,0.36,0,29.06,47.92,14.31,8.71
Rubber Woodchip,27,64.9,7.3,0.8,46.4,5.7,47.7,0.2,0.01,729.9,0.39,0,28.97,48,14.57,8.46
Rubber Woodchip,27,64.9,7.3,0.8,46.4,5.7,47.7,0.2,0.01,738.2,0.45,0,28.6,48.15,14.95,8.3
Rubber Woodchip,27,64.9,7.3,0.8,46.4,5.7,47.7,0.2,0.01,765.4,0.49,0,27.96,49.21,14.67,8.16
Sunflower,8.1,72.56,10.49,8.85,51.01,6.65,41.36,0.96,0.01,750,0.3,0,29.43,35.14,26.83,8.61
Sunflower,8.1,72.56,10.49,8.85,51.01,6.65,41.36,0.96,0.01,800,0.3,0,33.17,29.96,28.66,8.22
Sunflower,8.1,72.56,10.49,8.85,51.01,6.65,41.36,0.96,0.01,750,0.3,0,31.4,34.2,25,9.4
Sunflower,8.1,72.56,10.49,8.85,51.01,6.65,41.36,0.96,0.01,800,0.3,0,34.24,30.01,27.29,8.46
Willow,8.2,76.48,13.12,2.2,49.83,6.8,40.29,3.08,0.01,750,0.3,0,30.6,36.1,24.48,8.82
Willow,8.2,76.48,13.12,2.2,49.83,6.8,40.29,3.08,0.01,800,0.3,0,35.56,30.7,25.84,7.9
Willow,8.2,76.48,13.12,2.2,49.83,6.8,40.29,3.08,0.01,750,0.3,0,32.58,37,22.4,8.02
Willow,8.2,76.48,13.12,2.2,49.83,6.8,40.29,3.08,0.01,800,0.3,0,33.7,35.2,23.4,7.7
Spruce Wood Pellets,8.4,74.2,17.1,0.3,49.44,5.92,44.53,0.1,0.01,780,0.17,0.65,26.9,29.03,35.75,8.32
Spruce Wood Pellets,8.4,74.2,17.1,0.3,49.44,5.92,44.53,0.1,0.01,780,0.17,0.65,28.77,27.89,34.74,8.6
Spruce Wood Pellets,8.4,74.2,17.1,0.3,49.44,5.92,44.53,0.1,0.01,780,0.17,0.65,24.91,30.51,36.64,7.94
